序号,时间戳,帧类型,帧格式,状态,数据长度, 数据(D0 - D7),ID,
1,23:03:56.3230170,标准帧,数据帧,接收,8,01 06 B2 80 FF FF FF FF,3C,
2,23:03:56.3250130,标准帧,数据帧,接收,8,01 06 F2 AA 03 17 00 00,3D,
3,23:03:56.3250130,标准帧,数据帧,接收,8,02 06 B2 80 FF FF FF FF,3C,
4,23:03:56.3250130,标准帧,数据帧,接收,8,02 06 F2 AA 03 17 00 00,3D,
5,23:03:56.3250130,标准帧,数据帧,接收,8,03 06 B2 80 FF FF FF FF,3C,
6,23:03:56.3250130,标准帧,数据帧,接收,8,03 06 F2 AA 04 17 00 00,3D,
7,23:03:56.3250130,标准帧,数据帧,接收,8,04 06 B2 80 FF FF FF FF,3C,
8,23:03:56.3250130,标准帧,数据帧,接收,8,05 06 B2 80 FF FF FF FF,3C,
9,23:03:56.3250130,标准帧,数据帧,接收,8,06 06 B2 80 FF FF FF FF,3C,
10,23:03:56.3250130,标准帧,数据帧,接收,8,07 06 B2 80 FF FF FF FF,3C,
11,23:03:56.3250130,标准帧,数据帧,接收,8,08 06 B2 80 FF FF FF FF,3C,
12,23:03:56.3250130,标准帧,数据帧,接收,8,09 06 B2 80 FF FF FF FF,3C,
13,23:03:56.3250130,标准帧,数据帧,接收,8,0A 06 B2 80 FF FF FF FF,3C,
14,23:03:56.3250130,标准帧,数据帧,接收,8,0B 06 B2 80 FF FF FF FF,3C,
15,23:03:56.3250130,标准帧,数据帧,接收,8,0C 06 B2 80 FF FF FF FF,3C,
16,23:03:56.3250130,标准帧,数据帧,接收,8,0D 06 B2 80 FF FF FF FF,3C,
17,23:03:56.3250130,标准帧,数据帧,接收,8,0E 06 B2 80 FF FF FF FF,3C,
18,23:03:56.3250130,标准帧,数据帧,接收,8,0F 06 B2 80 FF FF FF FF,3C,
19,23:03:56.3250130,标准帧,数据帧,接收,8,01 06 B2 80 FF FF FF FF,3C,
20,23:03:56.3250130,标准帧,数据帧,接收,8,01 06 F2 AA 03 17 00 00,3D,
21,23:03:56.3250130,标准帧,数据帧,接收,8,02 06 B2 80 FF FF FF FF,3C,
22,23:03:56.3250130,标准帧,数据帧,接收,8,02 06 F2 AA 03 17 00 00,3D,
23,23:03:56.3250130,标准帧,数据帧,接收,8,03 06 B2 80 FF FF FF FF,3C,
24,23:03:56.3250130,标准帧,数据帧,接收,8,03 06 F2 AA 04 17 00 00,3D,
25,23:03:56.3250130,标准帧,数据帧,接收,8,04 06 B2 80 FF FF FF FF,3C,
26,23:03:56.3250130,标准帧,数据帧,接收,8,05 06 B2 80 FF FF FF FF,3C,
27,23:03:56.3250130,标准帧,数据帧,接收,8,06 06 B2 80 FF FF FF FF,3C,
28,23:03:56.3250130,标准帧,数据帧,接收,8,07 06 B2 80 FF FF FF FF,3C,
29,23:03:56.3250130,标准帧,数据帧,接收,8,08 06 B2 80 FF FF FF FF,3C,
30,23:03:56.3250130,标准帧,数据帧,接收,8,09 06 B2 80 FF FF FF FF,3C,
31,23:03:56.3250130,标准帧,数据帧,接收,8,0A 06 B2 80 FF FF FF FF,3C,
32,23:03:56.3250130,标准帧,数据帧,接收,8,0B 06 B2 80 FF FF FF FF,3C,
33,23:03:56.3250130,标准帧,数据帧,接收,8,0C 06 B2 80 FF FF FF FF,3C,
34,23:03:56.3250130,标准帧,数据帧,接收,8,0D 06 B2 80 FF FF FF FF,3C,
35,23:03:56.3250130,标准帧,数据帧,接收,8,0E 06 B2 80 FF FF FF FF,3C,
36,23:03:56.3250130,标准帧,数据帧,接收,8,0F 06 B2 80 FF FF FF FF,3C,
37,23:03:56.3250130,标准帧,数据帧,接收,8,01 06 B2 80 FF FF FF FF,3C,
38,23:03:56.3250130,标准帧,数据帧,接收,8,01 06 F2 AA 03 17 00 00,3D,
39,23:03:56.3250130,标准帧,数据帧,接收,8,02 06 B2 80 FF FF FF FF,3C,
40,23:03:56.3250130,标准帧,数据帧,接收,8,02 06 F2 AA 03 17 00 00,3D,
41,23:03:56.3250130,标准帧,数据帧,接收,8,03 06 B2 80 FF FF FF FF,3C,
42,23:03:56.3250130,标准帧,数据帧,接收,8,03 06 F2 AA 04 17 00 00,3D,
43,23:03:56.3250130,标准帧,数据帧,接收,8,04 06 B2 80 FF FF FF FF,3C,
44,23:03:56.3250130,标准帧,数据帧,接收,8,05 06 B2 80 FF FF FF FF,3C,
